Medical, Dark Humor, Memory/Illness
Dark/Offensive, Sexual Content, Relationship
Music, Insult/Stereotype, One-Liner
Offensive, Relationship, Bathroom Humor
Celebrity/Crime, Wordplay, One-Liner
Politics, Relationship, Comeback/Insult
Feminism, Offensive, Light-Bulb Joke
Wordplay, Dyslexia, Offensive/Dark
Bar Joke, Resourcefulness, One-Liner
Cannibal/Dark Humor, Wordplay, One-Liner
Disaster, Stereotype, Offensive
Golf, Marriage/Relationship, Punchline/Insult
Ethnic Stereotype, Wordplay/Pun, Offensive
Word Confusion/Pun, Relationship, Offensive
Blindness/Disability, Religious Food, Offensive
Simple Riddle, Wordplay, One-Liner
Light-Bulb Joke, Sexual/Offensive, One-Liner
Animal, Wordplay, One-Liner
Language, National Stereotype, Offensive
Technology, Comparisons, One-Liner
Sexual, Wordplay, Off-Color Humor
Animal, Sexual Pun, One-Liner
Aussie, Riddle/Pun, One-Liner
Animal, Wordplay, Silly/Offensive
Children, Sex Reference, Wordplay
Bar Joke, Sexual/Flirting, One-Liner
Politics, Animal Reference, Insult
Engineers, Tech Humor, Stereotype
Ethnic Stereotype, Sheep/Offensive, Punchline
Profession Stereotype, Wordplay, One-Liner
Politics, Wordplay/Pun, One-Liner
Religion/Heaven, Denominational Stereotype, Punchline
Sports, American Stereotype, Offensive
Children, Wordplay, Offensive
Adventure, Dark Humor, Twist Ending
Bar Joke, Ethnic Stereotype, Offensive
Jewish Stereotype, Psychology, Offensive
Food, Dark Humor, One-Liner
Relationship, Offensive, Generalization
Light-Bulb Joke, Ethnic Stereotype, Offensive
Religion/Atheism, Sexual, Offensive
Sexual, Body/Analogy, Offensive
Celebrity, Music/Pun, One-Liner
Animal, Bar Joke, Wordplay
Jewish Stereotype, Offensive, School
Sexual, Old Age, One-Liner
Engineering, Expertise, Punchline
Education, Stereotype, One-Liner
Engineering, Body/Anatomy, Offensive/Wordplay
Religion/Confession, Senior Humor, Sexual
Politics, Wordplay/Pun, Offensive
Politics, Sexual, Offensive
Family, Incest/Dark, Twist
Religion, Wordplay, Dark/Offensive
Family, Pun/Wordplay, One-Liner
Celebrity, Sexual, Silly/Offensive
Simple Riddle, One-Liner, Pun
Light-Bulb Joke, Cutesy/Animal, Silly
Ethnic Stereotype, Politics, Offensive
Religion/Spiritual, Wordplay, Food
Politics, Dark Humor, Offensive
Corporate vs. Engineer, Practicality, One-Liner
Science Stereotypes, Problem-Solving, Humor
Wordplay, Dyslexia, Offensive
Bar/Redneck, Medical/Pun, Offensive
Lawyer, Greed/Materialism, Offensive
Anthropomorphic Objects, Pun, Silly
Management vs. Tech, Stereotype, One-Liner
Marriage, Jealousy/Death, Punchline
Job Interview, Wordplay, One-Liner
Tech/Computer, Prank, Humor
College, Rule-Breaking, One-Liner
Political, Historical, One-Liner
Stalker/Crime, Light-Bulb Joke, Offensive
Men vs. Women, Offensive, One-Liner
Dark/Offensive, Car Accident, Twist
Wordplay, Politics, One-Liner
Politics, Crime, One-Liner
Taxes, Politics, One-Liner
Political, Religious Figure, Offensive
Ethnic/Language, Offensive, Wordplay
Tech/Programmer, Literal Humor, One-Liner
Relationship, Offensive Stereotype, Humor
Engineering, Stereotype, One-Liner
Politics, Light-Bulb Joke, Wordplay
Science, Bar Joke, Wordplay
Medical, Dark Humor, Offensive
Ethnic Stereotype, Wordplay, One-Liner
Military, Wordplay, Gotcha/Punchline
Tech/Programmer, Light-Bulb Joke, One-Liner
Animal, Grammar/Wordplay, Bar Joke
School, Role Reversal, One-Liner
Job Interview, Negotiation, One-Liner
Science, Wordplay, One-Liner
Life Advice, Twist/Punchline, One-Liner
Lawyer, Loophole, One-Liner
Language, Wordplay, Classroom
Offensive Stereotype, Women, Humor
Wordplay, Work, One-Liner
Politics/Monarchy, Offensive, One-Liner
Religion/Spiritual, Wordplay/Pun, Medical
Crime/Escape, Children, Punchline
Medical, Wordplay, One-Liner
Education, Insult, Offensive
Hunting/Redneck, Medical Pun, Offensive
Engineer, Religion, Punchline
Health/Irony, National Stereotype, Dark Humor
Pickup Line, Marriage/Relationship, One-Liner
Workplace, Lie/Exposed, Punchline
School/Exam, Bribe, Punchline
Funeral vs. Celebration, Mistake, Wordplay
Family, Kids, Playful Revenge
Workplace, Technology Mishap, One-Liner
Detective/Logic, Wordplay, Punchline
Car Technology, Political Dig, One-Liner
Management vs. Engineer, Stereotype, Wordplay
Corporate, Hierarchy Joke, Punchline
Medical, One-Liner, Slapstick
Children/Classroom, Offensive Surprise, Humor
Tech Support, Insult, Wordplay
Religion, Bathroom Humor, Offensive
Science/Logic, Overgeneralization, Humor
Chuck Norris, Meme, One-Liner
Knock-Knock, Wordplay, One-Liner
Tourist/Travel, Food/Offal, Punchline
National Stereotypes, Religion, Interpretations
Politics, Family Analogy, Wordplay
National Stereotypes, Afterlife, Punchline
Dating/Relationship, Stereotype, Punchline
Medical, Old Age, One-Liner
Mental Health, Insult, Offensive
Disney/Cartoon, Relationship, Wordplay
Workplace, Tech Confusion, One-Liner
Art, Dark Humor, Death
Mental Hospital, Slapstick/Prank, One-Liner
Job Interview, Insult, One-Liner
Animal, Silly Twist, Punchline
Politics, Insult, Offensive
Politics, One-Liner, Silly
Chuck Norris, Meme, One-Liner
Pop-Culture (24), Meme, One-Liner
Religion, Offensive, Dark/Irreverent
Dark/Offensive, Religion, Twist
Animal, Heroic Pig, Humor
Blonde Joke, Dark Humor, Punchline
National Stereotypes, Work Culture, Offensive
Shopping, Crowd, Punchline
Profession Stereotype, Heaven/Gates, Punchline
Politics, Family, One-Liner
Politics, Translation/Language, Humor